db,taxa,phylum,class,order,suborder,superfamily,family,subfamily,genus,species,readsT,occurPer,pathString
ncbi,Mus musculus,Chordata,Mammalia,Rodentia,Myomorpha,NA,Muridae,Murinae,Mus,Mus musculus,25,97,Chordata/Mammalia/Rodentia/Myomorpha/NA/Muridae/Murinae/Mus/Mus musculus/
ncbi,Homo sapiens,Chordata,Mammalia,Primates,Haplorrhini,Hominoidea,Hominidae,Homininae,Homo,Homo sapiens,18,71,Chordata/Mammalia/Primates/Haplorrhini/Hominoidea/Hominidae/Homininae/Homo/Homo sapiens/
ncbi,Lepus americanus,Chordata,Mammalia,Lagomorpha,NA,NA,Leporidae,NA,Lepus,Lepus americanus,15,31,Chordata/Mammalia/Lagomorpha/NA/NA/Leporidae/NA/Lepus/Lepus americanus/
ncbi,Lepus,Chordata,Mammalia,Lagomorpha,NA,NA,Leporidae,NA,Lepus,NA,6,6,Chordata/Mammalia/Lagomorpha/NA/NA/Leporidae/NA/Lepus/
ncbi,Ondatra zibethicus,Chordata,Mammalia,Rodentia,Myomorpha,NA,Cricetidae,Arvicolinae,Ondatra,Ondatra zibethicus,36,94,Chordata/Mammalia/Rodentia/Myomorpha/NA/Cricetidae/Arvicolinae/Ondatra/Ondatra zibethicus/
ncbi,Mus,Chordata,Mammalia,Rodentia,Myomorpha,NA,Muridae,Murinae,Mus,NA,3,11,Chordata/Mammalia/Rodentia/Myomorpha/NA/Muridae/Murinae/Mus/
ncbi,Leporidae,Chordata,Mammalia,Lagomorpha,NA,NA,Leporidae,NA,NA,NA,2,6,Chordata/Mammalia/Lagomorpha/NA/NA/Leporidae/
ncbi,Sus,Chordata,Mammalia,Artiodactyla,Suina,NA,Suidae,NA,Sus,NA,7,26,Chordata/Mammalia/Artiodactyla/Suina/NA/Suidae/NA/Sus/
ncbi,Lagomorpha,Chordata,Mammalia,Lagomorpha,NA,NA,NA,NA,NA,NA,1,6,Chordata/Mammalia/Lagomorpha/
ncbi,Phoca,Chordata,Mammalia,Carnivora,Caniformia,NA,Phocidae,NA,Phoca,NA,2,3,Chordata/Mammalia/Carnivora/Caniformia/NA/Phocidae/NA/Phoca/
ncbi,Culaea inconstans,Chordata,Actinopteri,Perciformes,Cottioidei,NA,Gasterosteidae,NA,Culaea,Culaea inconstans,2,37,Chordata/Actinopteri/Perciformes/Cottioidei/NA/Gasterosteidae/NA/Culaea/Culaea inconstans/
ncbi,Caniformia,Chordata,Mammalia,Carnivora,Caniformia,NA,NA,NA,NA,NA,1,3,Chordata/Mammalia/Carnivora/Caniformia/
ncbi,Branta canadensis,Chordata,Aves,Anseriformes,NA,NA,Anatidae,Anserinae,Branta,Branta canadensis,1,3,Chordata/Aves/Anseriformes/NA/NA/Anatidae/Anserinae/Branta/Branta canadensis/
ncbi,Chrosomus eos,Chordata,Actinopteri,Cypriniformes,Cyprinoidei,NA,Leuciscidae,Laviniinae,Chrosomus,Chrosomus eos,1,11,Chordata/Actinopteri/Cypriniformes/Cyprinoidei/NA/Leuciscidae/Laviniinae/Chrosomus/Chrosomus eos/
ncbi,Leuciscidae,Chordata,Actinopteri,Cypriniformes,Cyprinoidei,NA,Leuciscidae,NA,NA,NA,1,6,Chordata/Actinopteri/Cypriniformes/Cyprinoidei/NA/Leuciscidae/
ncbi,Cottidae,Chordata,Actinopteri,Perciformes,Cottioidei,NA,Cottidae,NA,NA,NA,2,20,Chordata/Actinopteri/Perciformes/Cottioidei/NA/Cottidae/
ncbi,Ovis aries,Chordata,Mammalia,Artiodactyla,Ruminantia,NA,Bovidae,Caprinae,Ovis,Ovis aries,12,17,Chordata/Mammalia/Artiodactyla/Ruminantia/NA/Bovidae/Caprinae/Ovis/Ovis aries/
ncbi,Muroidea,Chordata,Mammalia,Rodentia,Myomorpha,NA,NA,NA,NA,NA,4,57,Chordata/Mammalia/Rodentia/Myomorpha/
ncbi,Caprinae,Chordata,Mammalia,Artiodactyla,Ruminantia,NA,Bovidae,Caprinae,NA,NA,3,3,Chordata/Mammalia/Artiodactyla/Ruminantia/NA/Bovidae/Caprinae/
ncbi,Arvicolinae,Chordata,Mammalia,Rodentia,Myomorpha,NA,Cricetidae,Arvicolinae,NA,NA,19,74,Chordata/Mammalia/Rodentia/Myomorpha/NA/Cricetidae/Arvicolinae/
ncbi,Murinae,Chordata,Mammalia,Rodentia,Myomorpha,NA,Muridae,Murinae,NA,NA,3,46,Chordata/Mammalia/Rodentia/Myomorpha/NA/Muridae/Murinae/
ncbi,Esociformes,Chordata,Actinopteri,Esociformes,NA,NA,NA,NA,NA,NA,1,14,Chordata/Actinopteri/Esociformes/
ncbi,Laviniinae,Chordata,Actinopteri,Cypriniformes,Cyprinoidei,NA,Leuciscidae,Laviniinae,NA,NA,1,6,Chordata/Actinopteri/Cypriniformes/Cyprinoidei/NA/Leuciscidae/Laviniinae/
ncbi,Fundulus heteroclitus,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontoidei,NA,Fundulidae,NA,Fundulus,Fundulus heteroclitus,13,34,Chordata/Actinopteri/Cyprinodontiformes/Cyprinodontoidei/NA/Fundulidae/NA/Fundulus/Fundulus heteroclitus/
ncbi,Sorex cinereus,Chordata,Mammalia,Eulipotyphla,NA,NA,Soricidae,Soricinae,Sorex,Sorex cinereus,16,26,Chordata/Mammalia/Eulipotyphla/NA/NA/Soricidae/Soricinae/Sorex/Sorex cinereus/
ncbi,Sorex,Chordata,Mammalia,Eulipotyphla,NA,NA,Soricidae,Soricinae,Sorex,NA,2,9,Chordata/Mammalia/Eulipotyphla/NA/NA/Soricidae/Soricinae/Sorex/
ncbi,Soricinae,Chordata,Mammalia,Eulipotyphla,NA,NA,Soricidae,Soricinae,NA,NA,2,14,Chordata/Mammalia/Eulipotyphla/NA/NA/Soricidae/Soricinae/
ncbi,Cricetidae,Chordata,Mammalia,Rodentia,Myomorpha,NA,Cricetidae,NA,NA,NA,6,46,Chordata/Mammalia/Rodentia/Myomorpha/NA/Cricetidae/
ncbi,Fundulus,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontoidei,NA,Fundulidae,NA,Fundulus,NA,2,14,Chordata/Actinopteri/Cyprinodontiformes/Cyprinodontoidei/NA/Fundulidae/NA/Fundulus/
ncbi,Cyprinodontiformes,Chordata,Actinopteri,Cyprinodontiformes,NA,NA,NA,NA,NA,NA,2,9,Chordata/Actinopteri/Cyprinodontiformes/
ncbi,Chrysemys picta,Chordata,Reptilia,Testudines,Cryptodira,Testudinoidea,Emydidae,NA,Chrysemys,Chrysemys picta,2,6,Chordata/Reptilia/Testudines/Cryptodira/Testudinoidea/Emydidae/NA/Chrysemys/Chrysemys picta/
ncbi,Apeltes quadracus,Chordata,Actinopteri,Perciformes,Cottioidei,NA,Gasterosteidae,NA,Apeltes,Apeltes quadracus,4,6,Chordata/Actinopteri/Perciformes/Cottioidei/NA/Gasterosteidae/NA/Apeltes/Apeltes quadracus/
ncbi,Catostomus commersonii,Chordata,Actinopteri,Cypriniformes,Catostomoidei,NA,Catostomidae,NA,Catostomus,Catostomus commersonii,1,3,Chordata/Actinopteri/Cypriniformes/Catostomoidei/NA/Catostomidae/NA/Catostomus/Catostomus commersonii/
ncbi,Soricidae,Chordata,Mammalia,Eulipotyphla,NA,NA,Soricidae,NA,NA,NA,1,6,Chordata/Mammalia/Eulipotyphla/NA/NA/Soricidae/
ncbi,Rattus norvegicus,Chordata,Mammalia,Rodentia,Myomorpha,NA,Muridae,Murinae,Rattus,Rattus norvegicus,7,9,Chordata/Mammalia/Rodentia/Myomorpha/NA/Muridae/Murinae/Rattus/Rattus norvegicus/
ncbi,Tamiasciurus hudsonicus,Chordata,Mammalia,Rodentia,Sciuromorpha,NA,Sciuridae,Sciurinae,Tamiasciurus,Tamiasciurus hudsonicus,6,3,Chordata/Mammalia/Rodentia/Sciuromorpha/NA/Sciuridae/Sciurinae/Tamiasciurus/Tamiasciurus hudsonicus/
ncbi,Muridae,Chordata,Mammalia,Rodentia,Myomorpha,NA,Muridae,NA,NA,NA,2,9,Chordata/Mammalia/Rodentia/Myomorpha/NA/Muridae/
ncbi,Bos taurus,Chordata,Mammalia,Artiodactyla,Ruminantia,NA,Bovidae,Bovinae,Bos,Bos taurus,6,11,Chordata/Mammalia/Artiodactyla/Ruminantia/NA/Bovidae/Bovinae/Bos/Bos taurus/
ncbi,Bovinae,Chordata,Mammalia,Artiodactyla,Ruminantia,NA,Bovidae,Bovinae,NA,NA,1,3,Chordata/Mammalia/Artiodactyla/Ruminantia/NA/Bovidae/Bovinae/
ncbi,Anatidae,Chordata,Aves,Anseriformes,NA,NA,Anatidae,NA,NA,NA,1,3,Chordata/Aves/Anseriformes/NA/NA/Anatidae/
ncbi,Fringillidae,Chordata,Aves,Passeriformes,NA,Passeroidea,Fringillidae,NA,NA,NA,1,3,Chordata/Aves/Passeriformes/NA/Passeroidea/Fringillidae/
ncbi,Apeltes,Chordata,Actinopteri,Perciformes,Cottioidei,NA,Gasterosteidae,NA,Apeltes,NA,1,3,Chordata/Actinopteri/Perciformes/Cottioidei/NA/Gasterosteidae/NA/Apeltes/
ncbi,Equus,Chordata,Mammalia,Perissodactyla,NA,NA,Equidae,NA,Equus,NA,5,6,Chordata/Mammalia/Perissodactyla/NA/NA/Equidae/NA/Equus/
ncbi,Canis lupus,Chordata,Mammalia,Carnivora,Caniformia,NA,Canidae,NA,Canis,Canis lupus,3,3,Chordata/Mammalia/Carnivora/Caniformia/NA/Canidae/NA/Canis/Canis lupus/
ncbi,Hominidae,Chordata,Mammalia,Primates,Haplorrhini,Hominoidea,Hominidae,NA,NA,NA,2,6,Chordata/Mammalia/Primates/Haplorrhini/Hominoidea/Hominidae/
